n_trials,n_test,block,base_bits,glm_bits,mmlpf_bits,glm_sigma,sigma_alpha,sigma_beta,sigma_phi,mean_beta,max_beta,mean_phi,mmlpf_loss_conc,mmlpf_worst_bits,glm_loss_conc,glm_worst_bits,diff_bits,subject_id,seed
593,120,20,1.0080398893168003,0.5259043533307747,0.5346141358968317,0.01168486454462294,0.0181224552782156,0.22388999114790442,0.06564486995482299,18.750739351095316,64.63266457552649,0.47531720214097806,0.2663804102659824,3.182778735334954,0.3173556404904434,3.700463855370292,-0.008709782566057034,713379,0
593,120,20,1.0519491210294236,0.7134224978653059,0.6570185120799554,0.022648505715115893,0.015307899672198255,0.25946715333237663,0.04517938576698741,22.338100814843113,79.95526684412829,0.6783876543205674,0.25403956655741344,4.601339091646557,0.24098773274257967,4.093764301095517,0.05640398578535044,713379,1
593,120,20,0.9966006515871356,0.46324083420252166,0.5237722028590636,0.01168486454462294,0.14842753284497157,0.08595869900251973,0.046120649645026573,17.212465574311793,51.48868520804772,0.39139638249722614,0.3122475802075002,7.109145387447119,0.33670882756046355,4.060742423461915,-0.060531368656541906,713379,2
593,120,20,1.0037283175877139,0.4656055081678322,0.3942453957787065,0.00012046016653111794,0.0666664492535749,0.1924164884474062,0.039286870867269064,21.794690730304616,75.99970337842227,0.7913071482393501,0.4099360171135504,4.267038907244678,0.28570793078177625,3.393601656797907,0.07136011238912571,713379,3
593,120,20,1.0056687913156337,0.6187554810057692,0.6370693179115688,0.04271604154821699,0.03474405112565215,0.1943566723902336,0.10433335930171443,19.193002625668395,86.53796516680072,0.7822988378766932,0.21819265115473477,3.2020688729917532,0.30742167852824925,5.31586962668205,-0.018313836905799685,713379,4
593,120,20,1.0157359481255996,0.7827836089491259,0.661828270531634,0.030937529136092577,0.07178004990874814,0.09836819058470186,0.1755971287333093,13.954361316684695,58.66834039510276,0.8554456085653074,0.27572813081589254,4.094993302983949,0.289417288069786,5.032889952575568,0.12095533841749195,713379,5
593,120,20,0.9964752392356545,0.5925893359916162,0.6343526122827883,0.00012046016653111794,0.0787436040820978,0.2825343367194257,0.06564486995482299,26.974745855490873,82.98114825800833,0.7827104741058452,0.24213112733516776,4.892327095476051,0.2962249704020098,3.9679501824936287,-0.04176327629117205,713379,6
593,120,20,1.0221561507960824,0.7645206084843753,0.6758267129178854,0.06650648120957715,0.06992148640796755,0.13927910852751169,0.10201628608094747,14.959902526480322,60.40905444992537,0.8269363904112444,0.23817023240224702,4.456438941793358,0.23290599976212395,4.124618519701581,0.08869389556648988,713379,7
593,120,20,1.0625660362227352,0.41390773049558677,0.4617061044128135,0.00011373021510508581,0.04332376569428306,0.21367129861282855,0.14753557756787627,29.78673049899033,89.15026197196926,0.6544704727442117,0.47328321925101463,6.668524053444383,0.3001255437987146,3.082546945465597,-0.047798373917226744,713379,8
593,120,20,0.9965789734312468,0.5776795774802519,0.5636439967540113,0.00012046016653111794,0.042476994465297735,0.11476100706837405,0.12280646166463738,16.1727635610694,63.81657839125867,0.9949377109736868,0.2930822498940983,4.290042597455479,0.2830190441607011,3.88020382108173,0.01403558072624056,713379,9
593,120,20,0.997474132594478,0.48973986160630656,0.5675706824296343,0.00012046016653111794,0.012194538381561648,0.1452351399510637,0.08816145334595082,14.425320344541259,65.12295393896244,0.6546403065039437,0.3078192360223141,4.597620717512281,0.28929214051008084,3.755739588479355,-0.0778308208233277,713379,10
593,120,20,1.013104484402373,0.510639708175623,0.5065915124062987,0.005683871089363057,0.09972402524753793,0.1105636732846873,0.1120597417682455,16.985296862442592,56.8954234468014,0.8257073860461462,0.3057765177370698,3.827384427893223,0.30066765951380586,4.020654444688003,0.004048195769324248,713379,11
593,120,20,0.997474132594478,0.6060545478727767,0.5955138316298497,0.00011373021510508581,0.016180130684400718,0.10846327645132371,0.1075548287127974,12.280925305287195,49.022246043745,0.9188903055637201,0.3129989522199047,4.386035477245131,0.32075762745185843,4.250685975723731,0.010540716242926962,713379,12
593,120,20,0.9983514435348203,0.6091223875426941,0.5844844869471779,0.04271604154821699,0.012669618359130497,0.1480638019003015,0.09316436337360579,15.039033440725554,64.13356681554359,0.8726924941616383,0.25157740656157185,3.224491319315051,0.2785170578342462,4.214309529782016,0.024637900595516182,713379,13
593,120,20,0.9983514435348203,0.5948591516918097,0.505157355088905,0.013991439656673339,0.0672534666416395,0.13876068164173805,0.07227997547041998,16.346875800756468,59.59386565747439,0.8612972031381417,0.28332704393583924,3.230683981959602,0.2945783139881506,4.127530271667195,0.08970179660290467,713379,14
593,120,20,1.0005374965443572,0.5343675519834645,0.6178947900345888,0.00012046016653111794,0.01138727151857688,0.13244950437347158,0.12094766153014277,14.968998761889232,66.08949553524076,0.6917398124150245,0.23550047814342012,3.23025861029207,0.30048400523099134,3.8497032679882324,-0.08352723805112428,713379,15
593,120,20,0.9964752392356544,0.58320475597356,0.6188294320035699,0.00012046016653111794,0.0181224552782156,0.22388999114790442,0.06564486995482299,16.34678674144212,61.15388037290434,0.8030933094960461,0.28886771730005567,4.176114848802364,0.35566895246871216,4.419758661228524,-0.03562467603000985,713379,16
593,120,20,1.019088283602359,0.44582637201273373,0.44185313676791804,0.009642981810474663,0.03546103137327031,0.20903252148557988,0.06501015935058851,23.115113700931477,88.30892570268817,0.7394877387178617,0.32816124710940775,5.332125986234158,0.32087070251735955,3.8729434753947882,0.003973235244815687,713379,17
593,120,20,1.0037283175877139,0.5285625446890236,0.5508685542933691,0.00011373021510508581,0.0384998101669857,0.328800073659081,0.26111088415159533,24.69703752805382,83.15334000098825,1.1082900616585776,0.3702400784675119,5.1741360594857815,0.28552594349147864,4.023769015698948,-0.022306009604345478,713379,18
593,120,20,1.018830268557894,0.6189617006689004,0.6538990142684928,0.00012046016653111794,0.014747720057395858,0.1364631847714209,0.30792489932301775,16.54103107745599,71.87732142128755,1.181917696397364,0.3747284426273077,5.844475116933285,0.26989705693964045,3.796137012346378,-0.0349373135995924,713379,19
