subject_id,session_number,seed,n_trials,n_test,block,base_bits,glm_bits,mmlpf_bits,diff_bits,glm_sigma,sigma_alpha,sigma_beta,sigma_phi,mean_beta,max_beta,mean_phi,mmlpf_loss_conc,mmlpf_worst_bits,glm_loss_conc,glm_worst_bits,seconds,error
632105,1,6,847,160,20,1.0529711352633708,0.22485419500228448,0.45621818019786653,-0.23136398519558204,0.10030973979432586,0.3598556685797297,0.09953971484404463,0.3342351726741406,44.690301907929474,85.33587751882098,4.235321895144571,0.460028318558699,17.639615496984803,0.7771249221202158,9.320058661931512,53.9,
632105,1,1,847,160,20,0.9155866457454896,0.13693187989958316,0.2129142866186712,-0.07598240671908804,0.10336410592734555,0.3255383398566702,0.17054364252605286,0.34792728812515306,65.1554651424907,96.8928192919528,5.1761726635784235,0.6568363116256474,16.887743160934516,0.7658169767066899,8.9262305363506,54.4,
632105,1,7,847,160,20,0.715137826804408,0.24926701274171698,0.36597247947304784,-0.11670546673133086,0.08504963135593843,0.0922843637183742,0.2672112102896899,0.16595507412162802,58.17205248654019,92.55350274378442,4.339256755079047,0.6508350573747361,7.113051899160314,0.8912965162762524,6.334010022356708,54.5,
632105,1,3,847,160,20,0.7744672265347188,0.16436664465930562,0.26771616112192387,-0.10334951646261825,0.091867334978283,0.01554628318716661,0.3349067248775544,0.15275318240035718,58.01342097224743,88.82355126240527,2.492713782283939,0.5661664241255561,10.057413594894136,0.7461103128740249,8.654892317162199,54.6,
632105,1,4,847,160,20,0.9244295942658859,0.21678866138836633,0.36790588071555524,-0.1511172193271889,0.10138338702858328,0.307973719899404,0.022773704103187548,0.14735081097997227,18.628016017522295,23.559220417311266,2.7786949966929084,0.5690112025943977,13.307465043238677,0.8869843280262543,9.554925055409889,54.6,
632105,1,2,847,160,20,0.82062660273688,0.04075472544957377,0.14033237648560082,-0.09957765103602705,0.07043397710876524,0.18101709521816595,0.2893039741107609,0.28237216469226734,61.44905285861154,92.36702299952138,2.5889097829097123,0.22252447241118822,0.7679739170223049,0.16162677702307343,0.15635078095971897,54.6,
632105,1,0,847,160,20,0.990465688446432,0.06351624273488643,0.07110198780285937,-0.007585745067972938,0.07043397710876524,0.1669345840165018,0.12970721457517415,0.3417533100467684,49.38825017402744,79.41426136649477,3.6028196319249792,0.365215108988808,0.6673137830754887,0.14873508664831098,0.18894187733496973,55.6,
632105,1,5,847,160,20,0.8136234616832224,0.10811064767906328,0.1431409329627143,-0.035030285283651014,0.06741653616475557,0.2549102945229702,0.3234986700396546,0.2779397137913048,58.3191981292929,84.11055358377877,4.472764869651407,0.6208643370447834,6.478887364996097,0.7731787632470205,6.324544167562996,55.6,
632105,2,0,722,140,20,1.0224098035373648,0.30578693631735154,0.3704896242607509,-0.06470268794339934,0.06181624934038881,0.026760475944609396,0.2052735660853463,0.18660328289654396,13.381682046011845,64.68460271987041,3.2288815262992396,0.5976833544086984,7.565898155140257,0.7368397681281101,6.304216784800526,46.0,
632105,2,1,722,140,20,1.0099053446493842,0.3962076101216194,0.5416614101513777,-0.14545380002975827,0.057639088599811754,0.19634996254505074,0.21956198318010806,0.3300487616509349,21.81175340236331,68.51686051163283,3.8424356284540533,0.3772977392387033,9.106373530045685,0.5536175363049027,5.778012605319258,46.2,
