subject_id,session_number,seed,n_trials,n_test,block,base_bits,glm_bits,mmlpf_bits,diff_bits,glm_sigma,sigma_alpha,sigma_beta,sigma_phi,mean_beta,max_beta,mean_phi,mmlpf_loss_conc,mmlpf_worst_bits,glm_loss_conc,glm_worst_bits,seconds,error
651554,1,5,509,100,20,0.7236651240534697,0.6009588682716536,0.6414380295778573,-0.0404791613062037,0.0484401101486612,0.318285816151437,0.2391309859394328,0.2295839339173269,14.083855120474386,70.28258056916219,0.9154277300235414,0.209655462927554,3.7076758781305954,0.2535904359472649,5.509968065794547,80.7,
651554,1,4,509,100,20,0.8137930295738451,0.8031193573177672,0.7276773226306525,0.0754420346871146,0.0618162493403888,0.3493250986106689,0.376342520818446,0.0219996510065673,31.81947561065164,82.48248832276914,0.4513503168017305,0.1902039586319751,4.012710141089308,0.2601639862917459,4.2658465111834944,100.6,
651554,1,7,509,100,20,0.834817153136178,0.7063258930737107,1.068217235501528,-0.3618913424278173,0.0665064812095771,0.2025962266412496,0.2734057037023246,0.0582249789046593,23.37635037913144,64.95618972644168,0.4206244187477194,0.1324260173338363,2.9613857277759927,0.2448987294747488,3.4719664771706014,140.0,
651554,1,6,509,100,20,0.7515317525858706,0.5238125993345278,0.6598273979470598,-0.1360147986125319,0.0587237172668219,0.2531908975918698,0.3673430713205369,0.0761912044585358,23.10002156870285,73.83151733173597,0.5078094447367533,0.1872965171955512,3.434597552319426,0.2345661761760046,3.976506257562327,140.2,
651554,1,0,509,100,20,0.8691191772807129,0.7425018030906307,0.8596322874354334,-0.1171304843448026,0.0484401101486612,0.369302413650719,0.3475845734036547,0.0087540252148318,24.14776072428202,69.63156084796131,0.3823726611884312,0.1389625978456411,2.660048613393432,0.1823969447426341,2.803567089584633,140.4,
651554,1,2,509,100,20,0.9479434178155464,0.6019256557723758,0.658749302079267,-0.0568236463068911,0.063165012294568,0.1865064160923349,0.1428792154053123,0.008298264789926,11.14129146457372,50.48629492612328,0.5256164691500336,0.2015291539542416,3.156809004164721,0.1953653566413513,2.566883370973262,140.5,
651554,1,1,509,100,20,0.6879837094741833,0.397035020940552,0.3535864014133015,0.0434486195272504,0.0576390885998117,0.1929640797947917,0.3221296416085207,0.0590738503342944,21.367818620726453,65.3133612423301,0.5255692680914738,0.3817168612500298,3.6164606667591768,0.3539856371825819,3.9288957161842406,140.5,
651554,1,3,509,100,20,0.7849747551673132,0.4516612024999339,0.526386649528822,-0.074725447028888,0.0640293435805885,0.2482004843685514,0.3111487127844048,0.0231076696556539,21.026423117320977,67.13200754447737,0.2832809957379266,0.1499822206612041,1.952411640295685,0.2624508769010721,2.812476193326185,140.7,
651554,1,8,509,100,20,0.9624394878655842,0.7239662229469869,0.8291258934665166,-0.1051596705195296,0.0665064812095771,0.3869183151669598,0.3027723618753871,0.0061515915229658,24.55212661057032,74.75634005869354,0.4669534215722699,0.1051176051143557,1.821819594041651,0.1332200164218362,2.1512273311904124,114.4,
651554,2,0,598,120,20,1.007303855096793,0.4415027662573039,0.4654668757191506,-0.0239641094618466,0.0272136469717939,0.0322620028154747,0.0842083621524707,0.0792100246387873,5.710418187696966,27.400446963099984,1.5026717779214964,0.3135973406159725,3.969768483695229,0.3219712454357936,3.8441715812545514,56.5,
651554,2,3,598,120,20,1.033306766244116,0.3919584891196493,0.4816923130448661,-0.0897338239252167,0.0366521462719548,0.0345552851555229,0.1631997400952975,0.1313917907797375,8.469601336978691,39.348418252987294,1.5325126077466678,0.4211485215781456,5.605927545056083,0.4977829130554785,5.516127852446174,57.2,
651554,2,2,598,120,20,1.0064924156813473,0.4255809944666783,0.4415672367093985,-0.0159862422427201,0.0427160415482169,0.0300557250572545,0.249420383030157,0.2487341242178583,12.16523350932452,84.36972483603498,1.9194930939076995,0.4609477863930201,5.437824812409231,0.3854256981887379,4.607179413578611,95.7,
651554,2,8,598,120,20,1.0720097426283357,0.4088875050950675,0.4291575991629662,-0.0202700940678987,0.0309375291360925,0.2784593471629977,0.1637200492067737,0.2648300162916714,11.49571584216589,37.19975709659294,1.974002696264236,0.3463418097803085,4.070677375925218,0.3287946738289159,4.118821248586996,41.3,
651554,1,9,509,100,20,0.8938611783914291,0.7153714354510333,0.7583500962614569,-0.0429786608104235,0.0704339771087652,0.3707788721486245,0.3673638667744998,0.0375826233667615,30.993955711984896,76.45892814544418,0.5923216949781682,0.1888654767936212,3.755279170521539,0.2551591279152423,6.514430763972037,141.8,
651554,2,4,598,120,20,1.004029277819335,0.3116150333329377,0.3968994048368598,-0.0852843715039221,0.0427160415482169,0.0631576862785493,0.1689519802250786,0.0767637037282801,9.151832447372378,46.743639115752536,1.2568015850925214,0.3842821448828795,3.214604892337238,0.4666260986519362,4.214630378351733,103.6,
651554,2,7,598,120,20,1.0128001387547276,0.4904992528053672,0.4750850013944366,0.0154142514109306,0.0355390949243053,0.0566468135722711,0.2295197248260292,0.1985854978519557,12.542064928184416,61.77769991381376,1.4938385146008764,0.2940587881019638,3.032389441208874,0.3818239518034115,5.44217939366342,72.2,
