subject_id,test_session_number,cumulative_train_trials,test_trials,opt_sigma_alpha,opt_sigma_beta,mmlpf_nll,psytrack_nll,base_nll,mmlpf_nll_per_trial,psytrack_nll_per_trial,base_nll_per_trial,mmlpf_bits,psytrack_bits,base_bits,diff_bits,ci_lo,ci_hi,separates,mean_alpha,mean_beta,max_beta,frac_beta_at_clip,opt_sigma_phi,mmlpf_persev_bits,mean_phi,max_beta_persev,diff_persev_bits,choice_autocorr,seconds,error,total_trials,ignored,valid_trials,ignored_frac
728568,2,391,424,0.1968581186137959,0.194429517312709,247.53053887483844,192.4892671866181,293.59911542273846,0.5837984407425435,0.4539841207231563,0.692450743921553,0.8422431153379769,0.6549606396096341,0.998995254315498,-0.1872824757283427,-0.3166332015685906,-0.0878185737642585,True,0.31786860589236,8.166135775701488,32.847973220454996,0.0,0.1100556613027061,0.6896087980274087,1.284222754320945,24.67864036803481,-0.0346481584177744,0.6211328976034859,52.1,,495,71,424,0.14343434343434344
728568,3,815,396,0.1845591891167642,0.1081404325056461,199.88283946599952,163.83409776285768,298.55834281312525,0.5047546451161604,0.4137224690981255,0.7539352091240537,0.7282070233747533,0.5968753544722032,1.0876985873548557,-0.1313316689025501,-0.2242171352656828,-0.0234759056297783,True,0.2154855028806022,12.586814053445684,56.77510336095585,0.0,0.0652695355549163,0.6306164641828412,1.3952206809559136,33.41723655823049,-0.0337411097106382,0.6316372326164247,58.8,,496,100,396,0.20161290322580644
728568,4,1211,388,0.1846552871865938,0.17975630798129,210.07268146686476,160.31671683753146,267.61203057772923,0.54142443677027,0.4131874145297203,0.6897217282931166,0.7811103499445686,0.59610343389976,0.9950581170018444,-0.1850069160448086,-0.3461362664172274,-0.0965128542174666,True,0.4613307759474981,12.013666091625048,58.99249328570159,0.0,0.1100556613027061,0.6463086583536046,1.4878358577930295,29.82176361652801,-0.0502052244538445,0.6764394403879381,86.5,,505,117,388,0.2316831683168317
728568,5,1599,367,0.1958570275453336,0.1903562543559124,180.33798559848515,141.43818750799426,251.38692670824025,0.4913841569441012,0.3853901566975319,0.68497800192981,0.7089174863946589,0.5560004678749498,0.9882143665021677,-0.152917018519709,-0.2064961189825113,-0.1180001258456902,True,0.3449784014229164,14.544229924321384,67.43038468911324,0.0,0.0566149584748798,0.6340017356776491,1.0387295868147806,59.14521205021438,-0.0780012678026992,0.6748958588581228,120.7,,515,148,367,0.287378640776699
728568,6,1966,331,0.1972717614098874,0.1741191877410055,163.9291124846042,114.338009080095,218.54162019596583,0.4952541162676864,0.3454320516014955,0.6602465866947608,0.7145006575192373,0.4983531078095781,0.9525344763883964,-0.2161475497096592,-0.3099030395603609,-0.1249767129310981,True,0.1965362117009179,26.572258136325807,90.0099562153271,0.0,0.0419033562864425,0.584607570868518,1.1423224275520591,56.49147173142878,-0.0862544630589397,0.705147773232639,147.3,,436,105,331,0.2408256880733945
728568,7,2297,462,0.1967212131644788,0.1650852101142722,270.1636750617175,163.7047318865332,293.20361936845063,0.5847698594409471,0.3543392465076478,0.6346398687628801,0.8436445762767906,0.5112034737289155,0.9155917914146298,-0.332441102547875,-0.5310104538060778,-0.1746697302922374,True,0.4450463982765739,8.106967142029742,61.90910169369689,0.0,0.0566182720638544,0.5774562065921666,1.395947155094545,75.05836431461532,-0.066252732863251,0.6223749948046701,173.1,,533,71,462,0.13320825515947468
728568,8,2759,466,0.1832364046483576,0.1808977133663966,222.56258017896812,169.92973150197804,292.8882610584136,0.4776021033883436,0.3646560761845024,0.6285155816704154,0.6890341860765012,0.5260875127414097,0.9067563127973508,-0.1629466733350915,-0.2531477966147646,-0.0635741543352143,True,0.3320125616007899,13.45117796428408,39.03430508808595,0.0,0.0566181402784395,0.5908896660309184,0.6319307827921788,71.37365071370586,-0.0648021532895085,0.6480187946518424,217.3,,535,69,466,0.12897196261682242
728568,9,3225,472,0.1782991983133133,0.1934157199964575,245.42421356694217,177.7241394485841,318.8868448740744,0.5199665541672503,0.376534193747,0.6756077221908356,0.7501531691252147,0.5432240140439211,0.9746959103910072,-0.2069291550812935,-0.3166799510170502,-0.0997139054945464,True,0.5442707750751498,14.306433440693668,92.32400776512036,0.0,0.1616757330603475,0.5955531763904817,1.519607162897127,69.25472639144529,-0.0523291623465605,0.7135400677522501,224.0,,502,30,472,0.05976095617529881
728568,10,3697,480,0.1988374691161138,0.1526496100330609,270.58794361277234,175.08998362179707,295.42677831625883,0.563724882526609,0.3647707992120774,0.6154724548255393,0.8132830924468523,0.5262530230843678,0.8879390583805621,-0.2870300693624844,-0.4203217785482212,-0.1739378296870949,True,0.2673302822541908,10.992077598776229,53.02583428745736,0.0,0.1348423938892733,0.5618219363046641,1.3336861855420206,77.49231372578932,-0.0355689132202962,0.6621556094335467,311.6,,519,39,480,0.07514450867052024
713377,2,482,498,0.1840360437300742,0.1205169745278844,241.5985999332932,222.66634699019895,359.95501841827263,0.4851377508700666,0.4471211786951784,0.7228012418037603,0.6999058273282706,0.645059507179962,1.0427817670986694,-0.0548463201483085,-0.1268027119187752,0.0461621086707322,False,0.1420272234182651,21.83300943866248,78.37061204570449,0.0,0.1100556613027061,0.6318911879766492,1.2011379059315217,48.39643313363358,0.0131683192033128,0.6337857099910629,46.5,,536,38,498,0.0708955223880597
