subject_id,n_train_trials,n_test_trials,base_rate,glm,mmlpf,diff_mmlpf_vs_glm,ci_lo,ci_hi,separates,alpha_mle,beta_mle,sigma_alpha,sigma_beta,alpha_mean,beta_mean,beta_max,spurious_alpha_drift,seconds,error
707535,9206,505,0.9843474746285683,0.2839084001380802,0.44099186390735284,-0.15708346376927274,-0.3213377215292934,-0.016441417186688383,True,0.4186748102825716,3.502535805786042,0.19064285919226445,0.139638857289477,0.22208253548856907,30.05474509959252,67.81476864203702,,622.6,
711041,8406,470,1.0219554012244247,0.2863991706696837,0.29331923455647385,-0.006920063886790224,-0.0304371697963534,0.012569231897006638,False,0.45513771344288523,3.8143954354229566,0.1831339471184062,0.19679814333750079,0.19934983785435906,34.58089017538406,86.52455983612684,,760.0,
651555,11431,462,1.0157670218830364,0.42881392474622354,0.5391473723531622,-0.1103334476069387,-0.1694808960666365,-0.04274685037764066,True,0.486619871323446,4.064728006296093,0.18231213389738543,0.19818513934285295,0.4083314846235823,20.73601319605629,62.745694060963366,,816.0,
698694,9519,362,0.8449775820639925,0.3825370754275795,0.46752877898923867,-0.08499170356165911,-0.20868562846527436,-0.0071280179500012985,True,0.4592830338533567,3.1617319669938855,0.19271618312219868,0.19627153962859667,0.04350006248541958,53.51319085470697,91.16173939072836,,822.9,
708299,9237,399,1.0121448356801914,0.21066507460204034,0.23788255811435952,-0.027217483512319195,-0.07443606756068774,0.0014064235857627007,False,0.31741914498612417,5.275018862674983,0.18830692509751928,0.198521970143126,0.21937157862630388,42.18127580153841,76.3713572123034,,900.6,
707254,10753,413,0.9629367709213565,0.41605850276669815,0.48676361690471925,-0.0707051141380212,-0.16539781109912238,0.007000041036781381,False,0.3490864174309398,3.965804530184331,0.19178385526834507,0.19093864108324987,0.1665553946821105,28.256528253877725,77.06468019344324,,1124.2,
711256,9916,494,0.9854865317038901,0.6693145389150813,0.7374253002901865,-0.06811076137510533,-0.1346730648245734,-0.012474698631368877,True,0.756398200761586,0.8055848218134503,0.1974220415649543,0.16953137498337623,0.037115991393404456,50.462915174666115,89.4241696412559,,612.3,
689515,11708,453,1.098535551504012,0.21497323200636387,0.6188589125601524,-0.4038856805537885,-0.6500654151509011,-0.1930113910155622,True,0.4338660883267327,3.037929757028417,0.1993636063797204,0.18180693307919754,0.1811355042736126,24.84621637803083,87.84104149695317,,1498.0,
651554,15647,489,0.9847392557729497,0.1725810133513827,0.4155733876168448,-0.24299237426546205,-0.46351828777154247,-0.07650014711694293,True,0.4045750190425971,3.6793554705844516,0.1842044644683753,0.1866265711613257,0.11049418810884049,52.29398654896561,84.99095706625543,,1521.9,
713377,11206,423,1.046889221435112,0.8233929008869812,0.8538036906054818,-0.03041078971850064,-0.08478316616753347,0.01892707823676553,False,0.5414576657862716,0.9246295786796064,0.18891632309301085,0.15953018869242228,0.26179706422631754,6.921252022283308,36.02076237268304,,762.2,
716324,8327,488,0.996963132651312,0.30818073578669214,0.33053569802461097,-0.02235496223791886,-0.0556123708794368,0.02007526639267093,False,0.5301294307105926,1.8425525097625475,0.19164861101366126,0.17965045897477944,0.18447501530193366,49.55413705760895,78.83466456087406,,714.3,
713379,11502,510,1.0075189629880064,0.7776068692621627,0.8106733605692524,-0.03306649130708982,-0.09919655923972308,0.027691011141670257,False,0.5379421963428638,1.404693782053999,0.18032036170445065,0.18587245967054244,0.17973814416122794,10.380449462863181,44.430648174818536,,910.9,
717375,11272,475,0.9661307725806182,0.3393748716886227,0.44346790953157766,-0.10409303784295504,-0.2312106874679241,-0.031130802562515922,True,0.4549491309796436,2.9920068483224758,0.19366665975982328,0.14206313940479073,0.2985186573170546,29.04316567337205,67.77562905833217,,612.4,
722679,8141,401,0.996525281245072,0.7155600773838119,0.902994132734504,-0.18743405535069205,-0.2577384782076185,-0.09674166614944947,True,0.999999999999541,0.27312073743448917,0.1980612665731536,0.17869812065855392,0.25217462705426985,7.940425428675055,49.54710505344138,,498.1,
717259,8660,432,0.9831158395345221,0.23463885528377637,0.29279936539811907,-0.058160510114342714,-0.11541697458861175,-0.01342728798669687,True,0.35793646151411146,2.4190149894218465,0.1952565250015549,0.17792425721756167,0.09218307839882431,48.49419368113605,89.13236056842123,,1285.1,
722680,13196,615,0.970304197698209,0.47907793983489483,0.6360439019319186,-0.15696596209702393,-0.22007656020561978,-0.10782464505536588,True,0.3431648009570654,1.444557661281442,0.19692070159442882,0.19458735570432453,0.22427380021443138,33.95259182328231,82.45812504693714,,655.2,
720956,11137,436,0.7006558767905648,0.39143690737526177,0.5602984043458721,-0.16886149697061037,-0.40746239324887723,-0.026127548191984318,True,0.5058094003370343,0.7384240156430024,0.19662296427342071,0.15272929058368953,0.20001057480151338,25.243203100901187,78.09474837290004,,671.8,
717377,12289,522,1.0174714274961385,0.3057859997627653,0.5211441385064677,-0.21535813874370244,-0.37574499484464824,-0.1006216058641857,True,0.3655026304173592,3.8898434976302196,0.19905767886769407,0.14803648684171627,0.20600024024113775,30.444448108436085,89.19249613780048,,1187.1,
720935,12497,552,0.9947367923173668,0.28594250212077554,0.45800741266346906,-0.17206491054269352,-0.3255252690339907,-0.0369093848865841,True,0.5232643247257206,1.4119338197473308,0.19809177400533207,0.1716342804181214,0.05190599451809708,65.25261841614467,98.79573303682433,,1097.9,
722832,10555,622,0.9082712363038506,0.31541564008609585,0.4328504771056653,-0.11743483701956953,-0.18784851678330375,-0.03364705470439109,True,0.5534533343130198,2.3533462712704605,0.18838113465779358,0.17537485239208842,0.21908185905772412,61.25630642324552,93.70693064882471,,1276.9,
